127.0.0.1 - - [08/Mar/2022:09:28:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/ HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/css/layout.css HTTP/1.1" 200 5882
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/js/axios.min.js HTTP/1.1" 200 17843
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/css/reset.css HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/js/gsap/gsap.min.js HTTP/1.1" 200 63533
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:45 +0900] "GET /11-spring-todo-list/js/main.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:28:56 +0900] "POST /11-spring-todo-list/Insert.do HTTP/1.1" 200 88
