127.0.0.1 - - [09/Mar/2022:23:17:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/ HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/css/layout.css HTTP/1.1" 200 4885
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/js/axios.min.js HTTP/1.1" 200 17843
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/js/gsap/gsap.min.js HTTP/1.1" 200 63533
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/css/reset.css HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:39 +0900] "GET /12-spring-corona/js/main.js HTTP/1.1" 200 6080
0:0:0:0:0:0:0:1 - - [09/Mar/2022:23:17:40 +0900] "GET /12-spring-corona/Corona.do?date=20220309 HTTP/1.1" 200 5087
